27186,FORMA SUICA ALUM.DECOR N4 CAPARROZ 1UN,42.32,0
27188,FORMA SUICA ALUM.DE.13X6 N2 CAPARROZ 1UN,8.18,0
27187,FORMA SUICA ALUM.D.24X19 N5 CAPARROZ 1UN,25.52,0
24318,FORMA SUICA DEC.N1 CAPARROZ 1UN,25.52,26.005541
25159,FORMA SUICA DEC.N1 P 13X6CM CAPARROZ 1UN,7.83,7.981011
24346,FORM.BALERINE 16.5X4.5X18.5 CAPARROZ 1UN,6.39,6.52993
24323,PA P/BOLO VERMERLHA CAPARROZ 1UN,3.08,3.079826
24324,PLACA CORT.CORACAO 16 CAVID.CAPARROZ 1UN,11.35,11.351358
27167,ARO CORTADOR LETRA U 21CM CAPARROZ 1UN,22.17,25.025079
24351,ASSADEIRA FLOR 20X5CM CAPARROZ 1UN,15.98,16.275882
24290,ASSADEIRA MADELEI.31.5X30CM CAPARROZ 1UN,23.72,26.774689
27190,ASSAD.MINI BALLERINE ALUM.CAPARROZ 1UN,23.83,26.898855
27164,BAILARINA ALUMINIO CAPARROZ 1UN,54.48,61.495998
27178,BAILARINA ALUM.20CM CAPARROZ AMARELA 1UN,39.6,44.699734
27177,BAILARINA ALUM.20CM CAPARROZ BRANCA 1UN,39.6,44.699734
27182,BAILARINA ALUM.20CM CAPARROZ PRETA 1UN,39.6,44.699734
27179,BAILARINA ALUM.20CM CAPARROZ VERDE 1UN,39.6,44.699734
27176,BAILARINA ALUM.20CM CAPARROZ VERMELHA1UN,39.6,44.699734
27185,BAILARINA ALUM.20CM CAPARROZ VIOLETA 1UN,39.6,44.699734
27174,BAILARINA ALUM.25CM CAPARROZ AMARELA 1UN,48.4,54.633009
27173,BAILARINA ALUM.25CM CAPARROZ BRANCA 1UN,48.4,54.633009
27181,BAILARINA ALUM.25CM CAPARROZ PRETA 1UN,48.4,54.633009
27175,BAILARINA ALUM.25CM CAPARROZ VERDE 1UN,48.4,54.633009
27172,BAILARINA ALUM.25CM CAPARROZ VERMELHA1UN,48.4,54.633009
27184,BAILARINA ALUM.25CM CAPARROZ VIOLETA 1UN,48.4,54.633009
27170,BAILARINA ALUM.30CM CAPARROZ AMARELA 1UN,66,74.499557
27169,BAILARINA ALUM.30CM CAPARROZ BRANCA 1UN,66,74.499557
27180,BAILARINA ALUM.30CM CAPARROZ PRETA 1UN,66,74.499557
27171,BAILARINA ALUM.30CM CAPARROZ VERDE 1UN,66,74.499557
